dealdate,section,dealtime,priceClose,TendSummary
20200302,1,113800,11259.00,1
20200302,1,113900,11252.00,1
20200302,1,114000,11257.00,1
20200302,1,114100,11250.00,1
20200302,1,114200,11247.00,1
20200302,1,114300,11249.00,-1
20200302,1,114400,11244.00,1
20200302,1,114500,11235.00,1
20200302,1,114600,11238.00,1
20200302,1,114700,11228.00,1
20200302,1,114800,11224.00,1
20200302,1,114900,11222.00,1
20200302,1,115000,11228.00,1
20200302,1,115100,11235.00,1
20200302,1,115200,11237.00,1
20200302,1,115300,11229.00,1
20200302,1,115400,11227.00,1
20200302,1,115500,11230.00,1
20200302,1,115600,11227.00,1
20200302,1,115700,11226.00,1
20200302,1,115800,11232.00,1
20200302,1,115900,11228.00,1
20200302,1,120000,11220.00,1
20200302,1,120100,11221.00,1
20200302,1,120200,11221.00,1
20200302,1,120300,11219.00,1
20200302,1,120400,11224.00,1
20200302,1,120500,11228.00,1
20200302,1,120600,11233.00,1
20200302,1,120700,11228.00,1
20200302,1,120800,11231.00,1
20200302,1,120900,11231.00,1
20200302,1,121000,11234.00,1
20200302,1,121100,11228.00,1
20200302,1,121200,11222.00,1
20200302,1,121300,11225.00,1
20200302,1,121400,11227.00,1
20200302,1,121500,11224.00,1
20200302,1,121600,11231.00,1
20200302,1,121700,11229.00,1
20200302,1,121800,11227.00,1
20200302,1,121900,11229.00,1
20200302,1,122000,11226.00,1
20200302,1,122100,11229.00,1
20200302,1,122200,11234.00,1
20200302,1,122300,11229.00,1
20200302,1,122400,11228.00,1
20200302,1,122500,11223.00,1
20200302,1,122600,11222.00,1
20200302,1,122700,11215.00,1
20200302,1,122800,11211.00,1
20200302,1,122900,11209.00,1
20200302,1,123000,11203.00,1
20200302,1,123100,11196.00,1
20200302,1,123200,11203.00,1
20200302,1,123300,11197.00,1
20200302,1,123400,11198.00,1
20200302,1,123500,11191.00,1
20200302,1,123600,11191.00,1
20200302,1,123700,11184.00,1
20200302,1,123800,11178.00,1
20200302,1,123900,11171.00,1
20200302,1,124000,11182.00,1
20200302,1,124100,11184.00,1
20200302,1,124200,11188.00,1
20200302,1,124300,11189.00,1
20200302,1,124400,11179.00,1
20200302,1,124500,11184.00,1
20200302,1,124600,11183.00,1
20200302,1,124700,11181.00,1
