tendPredict,tendPredictEMAn,tendBase,preStopGainLoseTend,preStopCountdown,baseTime,basePrice,tendInventory,inventoryPL,inventoryPLmax,inventoryPLmin,settlePL,settleLoseWorst,settlePLsum,settlePLsumMax,settlePLsumMin,buySaleTimes,dealdate,section,dealtime,priceClose,TendSummary
0.712455153465271,0.712455153465271,1,0,0,090700,11105.00,1,-10.00,25.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092100,11095.00,1
0.7000764012336731,0.7000764012336731,1,0,0,090700,11105.00,1,9.00,25.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092200,11114.00,1
0.71160924434661865,0.71160924434661865,1,0,0,090700,11105.00,1,17.00,25.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092300,11122.00,1
0.67057633399963379,0.67057633399963379,1,0,0,090700,11105.00,1,16.00,25.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092400,11121.00,1
0.73097705841064453,0.73097705841064453,1,0,0,090700,11105.00,1,26.00,26.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092500,11131.00,1
0.72437077760696411,0.72437077760696411,1,0,0,090700,11105.00,1,23.00,26.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092600,11128.00,1
0.73105859756469727,0.73105859756469727,1,0,0,090700,11105.00,1,37.00,37.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092700,11142.00,1
0.73105847835540771,0.73105847835540771,1,0,0,090700,11105.00,1,39.00,39.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092800,11144.00,1
0.73105853796005249,0.73105853796005249,1,0,0,090700,11105.00,1,37.00,39.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,092900,11142.00,1
0.73105853796005249,0.73105853796005249,1,0,0,090700,11105.00,1,40.00,40.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093000,11145.00,1
0.73105859756469727,0.73105859756469727,1,0,0,090700,11105.00,1,57.00,57.00,-18.00,0,-18.00,-18.00,0,-18.00,3,20200302,1,093100,11162.00,1
